,Saison,Name,Player_ID,Alter,Nationalität,Abgebender Verein,ID_1,Aufnehmender Verein,ID_2,Zielland,Ablösesumme,Ligahöhe
1923,13/14,Birkir Bjarnason,34453,25,Island,Standard Lüttich,3057,Delfino Pescara 1936,2921,Italien,900000.0,2.Liga
1924,13/14,Yohan Tavares,85953,25,Portugal,Standard Lüttich,3057,Chievo Verona,862,Italien,500000.0,1.Liga
1925,13/14,Sinan Bolat,33862,24,Türkei,Standard Lüttich,3057,FC Porto,720,Portugal,0.0,1.Liga
1926,13/14,Maor Buzaglo,56657,25,Israel,Standard Lüttich,3057,Hapoel Beer Sheva,2976,Israel,0.0,1.Liga
1927,13/14,Ignacio González,67648,31,Uruguay,Standard Lüttich,3057,Club Nacional,866,Uruguay,0.0,
1928,13/14,Rami Gershon,125745,24,Israel,Standard Lüttich,3057,Waasland-Beveren,28643,Belgien,0.0,1.Liga
1929,13/14,Reza Ghoochannejhad,39522,26,Iran,Standard Lüttich,3057,Charlton Athletic,358,England,0.0,2.Liga
1930,13/14,Junior Malanda,129593,18,Belgien,SV Zulte Waregem,3508,VfL Wolfsburg,82,Deutschland,1700000.0,1.Liga
1931,13/14,Habib Habibou,41261,26,Zentralafrikanische Republik,SV Zulte Waregem,3508,KAA Gent,157,Belgien,1600000.0,1.Liga
1932,13/14,Jeremy Bokila,56490,24,DR Kongo,SV Zulte Waregem,3508,Terek Grozny,3725,Russland,800000.0,1.Liga
1933,13/14,Jasper Otte,157889,20,Belgien,SV Zulte Waregem,3508,Standaard Wetteren,3083,Belgien,0.0,
1934,13/14,Thomas Van Der Haegen,196030,22,Belgien,SV Zulte Waregem,3508,KMSK Deinze,2321,Belgien,0.0,
1935,13/14,Pavèl Verstraete,157892,21,Belgien,SV Zulte Waregem,3508,OMS Ingelmunster,20570,Belgien,0.0,
1936,13/14,Julien Toudic,51542,27,Frankreich,SV Zulte Waregem,3508,Stade Laval,1080,Frankreich,0.0,2.Liga
1937,13/14,Ivan Lendric,133822,22,Kroatien,SV Zulte Waregem,3508,NK Lokomotiva Zagreb,11194,Kroatien,0.0,1.Liga
1938,13/14,Jonathan Delaplace,149551,27,Frankreich,SV Zulte Waregem,3508,LOSC Lille,1082,Frankreich,0.0,1.Liga
1939,13/14,Mansour Diop,255436,23,Senegal,SV Zulte Waregem,3508,White Star Brüssel (- 2017),6342,Belgien,0.0,2.Liga
1940,13/14,Frédéric Gounongbe,128304,25,Benin,SV Zulte Waregem,3508,RWDM Brüssel FC,3898,Belgien,0.0,2.Liga
1941,13/14,Franck Berrier,22627,29,Frankreich,SV Zulte Waregem,3508,KV Oostende,2861,Belgien,0.0,1.Liga
1942,13/14,Jérémy Serwy,147457,22,Belgien,SV Zulte Waregem,3508,Borussia Dortmund II,17,Deutschland,0.0,3.Liga
1943,13/14,Hernán Hinostroza,195871,19,Peru,SV Zulte Waregem,3508,Universidad San Martín de Porres,11622,Peru,0.0,1.Liga
1944,13/14,Hernán Hinostroza,195871,19,Peru,SV Zulte Waregem,3508,Universidad San Martín de Porres,11622,Peru,0.0,1.Liga
1945,13/14,Kassim Doumbia,101133,23,Mali,Waasland-Beveren,28643,FH Hafnarfjördur,1185,Island,0.0,1.Liga
1946,13/14,Gal Shish,62180,24,Israel,Waasland-Beveren,28643,Volyn Lutsk,4482,Ukraine,0.0,1.Liga
1947,13/14,Alves Da Silva,85901,29,Belgien,Waasland-Beveren,28643,SKN Sint-Niklaas,3600,Belgien,0.0,
1948,13/14,Gertjan Martens,94184,24,Belgien,Waasland-Beveren,28643,KV Oostende,2861,Belgien,0.0,1.Liga
1949,13/14,Rachid Farssi,13309,28,Belgien,Waasland-Beveren,28643,Lierse SK (- 2018),204,Belgien,0.0,1.Liga
1950,13/14,Kristof Snelders,13087,30,Belgien,Waasland-Beveren,28643,KFC Antonia,51528,Belgien,0.0,
1951,13/14,Kristof Lardenoit,13069,29,Belgien,Waasland-Beveren,28643,KSV Temse,7773,Belgien,0.0,
1952,13/14,Sam Vermeylen,99916,22,Belgien,Waasland-Beveren,28643,Berchem Sport,3171,Belgien,0.0,
1953,13/14,Jurgen Cavens,13445,34,Belgien,Waasland-Beveren,28643,Royal Cappellen FC,8427,Belgien,0.0,
1954,13/14,Chimezie Mbah,193347,21,Nigeria,Waasland-Beveren,28643,Hapoel Bnei Lod,24026,Israel,0.0,
1955,13/14,Michael Clepkens,85873,27,Belgien,Waasland-Beveren,28643,KV Kortrijk,601,Belgien,0.0,1.Liga
1956,14/15,Cheikhou Kouyaté,66934,24,Senegal,RSC Anderlecht,58,West Ham United,379,England,7500000.0,1.Liga
1957,14/15,Massimo Bruno,111376,20,Belgien,RSC Anderlecht,58,RasenBallsport Leipzig,23826,Deutschland,5000000.0,2.Liga
1958,14/15,David Pollet,56811,25,Belgien,RSC Anderlecht,58,KAA Gent,157,Belgien,1500000.0,1.Liga
1959,14/15,Nabil Jaadi,200790,18,Marokko,RSC Anderlecht,58,Udinese Calcio U19,10959,Italien,1000000.0,Jugendliga
1960,14/15,Dalibor Veselinovic,46185,26,Serbien,RSC Anderlecht,58,KV Mechelen,354,Belgien,0.0,1.Liga
1961,14/15,Ronald Vargas,72567,27,Venezuela,RSC Anderlecht,58,Balikesirspor,20698,Türkei,0.0,1.Liga
1962,14/15,Fernando Canesin,153065,22,Brasilien,RSC Anderlecht,58,KV Oostende,2861,Belgien,0.0,1.Liga
1963,14/15,Jordan Lukaku,140804,19,Belgien,RSC Anderlecht,58,KV Oostende,2861,Belgien,0.0,1.Liga
1964,14/15,Sacha Kljestan,39475,29,Vereinigte Staaten,RSC Anderlecht,58,New York Red Bulls,623,Vereinigte Staaten,0.0,
1965,14/15,Thomas Goddeeris,234188,22,Belgien,Cercle Brügge,520,KM Torhout,3085,Belgien,0.0,
1966,14/15,Jo Coppens,42717,23,Belgien,Cercle Brügge,520,MVV Maastricht,384,Niederlande,0.0,2.Liga
1967,14/15,Papa Ibrahima Sène,168338,23,Senegal,Cercle Brügge,520,Royale Union Saint Gilloise,3948,Belgien,0.0,
1968,14/15,Frederik Boi,13037,33,Belgien,Cercle Brügge,520,KFC Izegem,25032,Belgien,0.0,
1969,14/15,Lukas Van Eenoo,90478,23,Belgien,Cercle Brügge,520,KV Kortrijk,601,Belgien,0.0,1.Liga
1970,14/15,Mourad Satli,123921,24,Algerien,RSC Charleroi,172,Petrolul Ploiesti,9465,Rumänien,0.0,1.Liga
1971,14/15,Ederson Tormena,52874,28,Brasilien,RSC Charleroi,172,Asteras Tripolis,6676,Griechenland,0.0,1.Liga
1972,14/15,Adrien Faidherbe,129582,20,Belgien,RSC Charleroi,172,KV Mechelen,354,Belgien,0.0,1.Liga
1973,14/15,Evans Kondogbia,166548,25,Zentralafrikanische Republik,RSC Charleroi,172,Athlétic Club Arlésien,11300,Frankreich,0.0,2.Liga
1974,14/15,Abraham Kudemor,98078,29,Ghana,RSC Charleroi,172,Al-Fateh,27221,Saudi-Arabien,0.0,1.Liga
1975,14/15,Harlem Gnohéré,70778,26,Frankreich,RSC Charleroi,172,RAEC Mons (- 2015),1411,Belgien,0.0,2.Liga
1976,14/15,Vadis Odjidja-Ofoe,38388,25,Belgien,FC Brügge,2282,Norwich City,1123,England,5000000.0,2.Liga
1977,14/15,Shangyuan Wang,228326,21,China,FC Brügge,2282,Guangzhou Evergrande Taobao,10948,China,0.0,1.Liga
1978,14/15,Tom Högli,24081,30,Norwegen,FC Brügge,2282,FC Kopenhagen,190,Dänemark,0.0,1.Liga
1979,14/15,Valentinos Vlachos,68441,22,Griechenland,FC Brügge,2282,Panionios Athen,169,Griechenland,0.0,1.Liga
1980,14/15,Spyros Fourlanos,136642,20,Griechenland,FC Brügge,2282,Panionios Athen,169,Griechenland,0.0,1.Liga
1981,14/15,Fredrik Stenman,15216,31,Schweden,FC Brügge,2282,Djurgårdens IF,1044,Schweden,0.0,1.Liga
1982,14/15,Ivan Trickovski,22753,27,Nordmazedonien,FC Brügge,2282,Al-Nasr SC (VAE),5432,Vereinigte Arabische Emirate,0.0,
1983,14/15,Jesper Jörgensen,20852,30,Dänemark,FC Brügge,2282,SV Zulte Waregem,3508,Belgien,0.0,1.Liga
1984,14/15,Jim Larsen,44465,28,Dänemark,FC Brügge,2282,FC Midtjylland,865,Dänemark,0.0,1.Liga
1985,14/15,Enoch Kofi Adu,88239,23,Ghana,FC Brügge,2282,Malmö FF,496,Schweden,0.0,1.Liga
1986,14/15,Elton Monteiro,122722,20,Portugal,FC Brügge,2282,FC Lausanne-Sport,527,Schweiz,0.0,2.Liga
1987,14/15,Kalidou Koulibaly,93128,23,Senegal,KRC Genk,1184,SSC Neapel,6195,Italien,7750000.0,1.Liga
1988,14/15,Anthony Limbombe,140803,20,Belgien,KRC Genk,1184,NEC Nijmegen,467,Niederlande,100000.0,2.Liga
1989,14/15,Kristof Van Hout,52506,27,Belgien,KRC Genk,1184,Delhi Dynamos FC,45080,Indien,0.0,1.Liga
1990,14/15,Kristof Van Hout,52506,27,Belgien,KRC Genk,1184,Delhi Dynamos FC,45080,Indien,0.0,1.Liga
1991,14/15,Grzegorz Sandomierski,55263,24,Polen,KRC Genk,1184,Zawisza Bydgoszcz,7153,Polen,0.0,1.Liga
1992,14/15,Dani Fernández,10183,31,Spanien,KRC Genk,1184,OFI Kreta,653,Griechenland,0.0,1.Liga
1993,14/15,Jeroen Simaeys,33894,29,Belgien,KRC Genk,1184,Krylya Sovetov Samara,2696,Russland,0.0,2.Liga
1994,14/15,Muhammed Mert,183233,19,Türkei,KRC Genk,1184,NEC Nijmegen,467,Niederlande,0.0,2.Liga
1995,14/15,Stijn Wertelaers,138691,20,Belgien,KRC Genk,1184,KFC Dessel Sport,1910,Belgien,0.0,2.Liga
1996,14/15,Habib Habibou,41261,27,Zentralafrikanische Republik,KAA Gent,157,FC Stade Rennes,273,Frankreich,2500000.0,1.Liga
1997,14/15,Hervé Kage,42731,25,DR Kongo,KAA Gent,157,KRC Genk,1184,Belgien,800000.0,1.Liga
1998,14/15,Elimane Coulibaly,34991,34,Senegal,KAA Gent,157,KV Oostende,2861,Belgien,0.0,1.Liga
1999,14/15,Armin Cerimagic,45571,20,Bosnien-Herzegowina,KAA Gent,157,Górnik Zabrze,428,Polen,0.0,1.Liga
2000,14/15,Tom Boere,124863,21,Niederlande,KAA Gent,157,FC Eindhoven,3892,Niederlande,0.0,2.Liga
2001,14/15,Zakaria M'Sila,160172,22,Marokko,KAA Gent,157,Waasland-Beveren,28643,Belgien,0.0,1.Liga
2002,14/15,Sergio Padt,79573,24,Niederlande,KAA Gent,157,FC Groningen,202,Niederlande,0.0,1.Liga
2003,14/15,Nicolas Delporte,152752,21,Belgien,KAA Gent,157,Oud-Heverlee Leuven,2727,Belgien,0.0,2.Liga
2004,14/15,Christian Brüls,38978,25,Belgien,KAA Gent,157,FC Stade Rennes,273,Frankreich,0.0,1.Liga
2005,14/15,Christophe Lepoint,4742,30,Belgien,KAA Gent,157,Charlton Athletic,358,England,0.0,2.Liga
2006,14/15,Sébastien Locigno,168162,19,Belgien,KAA Gent,157,KV Oostende,2861,Belgien,0.0,1.Liga
2007,14/15,Branimir Petrovic,27234,32,Serbien,KV Kortrijk,601,Volgar Astrakhan,6432,Russland,0.0,2.Liga
2008,14/15,Baptiste Martin,33848,29,Frankreich,KV Kortrijk,601,Clermont Foot 63,3524,Frankreich,0.0,2.Liga
2009,14/15,Kévin Dupuis,56780,27,Frankreich,KV Kortrijk,601,FC Lausanne-Sport,527,Schweiz,0.0,2.Liga
2010,14/15,Mustapha Oussalah,13483,32,Marokko,KV Kortrijk,601,KAA Gent,157,Belgien,0.0,1.Liga
2011,14/15,Michael Clepkens,85873,28,Belgien,KV Kortrijk,601,F91 Düdelingen,853,Luxemburg,0.0,1.Liga
2012,14/15,Romain Reynaud,98283,31,Frankreich,KV Kortrijk,601,Oud-Heverlee Leuven,2727,Belgien,0.0,2.Liga
2013,14/15,Alassane També,111061,23,Mali,KV Kortrijk,601,Genua CFC,252,Italien,0.0,1.Liga
2014,14/15,Kostadin Hazurov,15885,29,Bulgarien,Lierse SK (- 2018),204,Maccabi Petah Tikva,3785,Israel,0.0,1.Liga
2015,14/15,Eric Matoukou,13028,31,Kamerun,Lierse SK (- 2018),204,FC Inter Turku,8042,Finnland,0.0,1.Liga
2016,14/15,Arjan Swinkels,34556,30,Niederlande,Lierse SK (- 2018),204,Roda JC Kerkrade,192,Niederlande,0.0,2.Liga
2017,14/15,Dolly Menga,132414,21,Angola,Lierse SK (- 2018),204,Benfica Lissabon,294,Portugal,0.0,1.Liga
2018,14/15,Lennert Vanherberghen,147007,24,Belgien,Lierse SK (- 2018),204,KFC Dessel Sport,1910,Belgien,0.0,2.Liga
2019,14/15,Carl Hoefkens,13061,35,Belgien,Lierse SK (- 2018),204,KV Oostende,2861,Belgien,0.0,1.Liga
