,Saison,Name,Player_ID,Alter,Nationalität,Abgebender Verein,ID_1,Aufnehmender Verein,ID_2,Zielland,Ablösesumme
597,09/10,Ivan Ergic,2893,28,Serbien,FC Basel 1893,26,Bursaspor,20,Türkei,ablösefrei
598,09/10,Jürgen Gjasula,5197,23,Albanien,FC Basel 1893,26,FSV Frankfurt,293,Deutschland,ablösefrei
599,09/10,Ronny Hodel,4923,26,Schweiz,FC Basel 1893,26,FK Ventspils,2782,Lettland,ablösefrei
600,09/10,Patrik Baumann,25443,22,Schweiz,FC Basel 1893,26,FC Solothurn,1287,Schweiz,ablösefrei
601,09/10,François Marque,33718,26,Frankreich,FC Basel 1893,26,Grenoble Foot 38,1290,Frankreich,ablösefrei
602,09/10,Marko Perovic,19720,26,Serbien,FC Basel 1893,26,New England Revolution,626,Vereinigte Staaten,?
603,09/10,Paulinho,12034,26,Brasilien,FC Aarau,116,Grasshopper Club Zürich,504,Schweiz,ablösefrei
604,09/10,Serghei Alexeev,49107,23,Moldawien,FC Aarau,116,Zakarpattia Uzhgorod,6996,Ukraine,ablösefrei
605,09/10,Daniel Tarone,4949,33,Schweiz,FC Aarau,116,FC Baden 1897,747,Schweiz,ablösefrei
606,09/10,Mario Mutsch,40878,24,Luxemburg,FC Aarau,116,FC Metz,347,Frankreich,ablösefrei
607,09/10,Rogério,6678,29,Brasilien,FC Aarau,116,Grasshopper Club Zürich,504,Schweiz,ablösefrei
608,09/10,Cristian Ianu,19908,25,Rumänien,FC Aarau,116,FC Luzern,434,Schweiz,ablösefrei
609,09/10,Frédéric Page,4060,30,Schweiz,FC Aarau,116,Neuchâtel Xamax,625,Schweiz,ablösefrei
610,09/10,Kristian Nushi,4779,26,Kosovo,FC Aarau,116,FC St. Gallen 1879,257,Schweiz,ablösefrei
611,09/10,Francisco Gabriel Guerrero,4950,31,Argentinien,FC Aarau,116,APEP Pitsilia,8553,Zypern,ablösefrei
612,09/10,Thomas Weller,19841,28,Deutschland,FC St. Gallen 1879,257,FC Schaffhausen,1277,Schweiz,ablösefrei
613,09/10,Yago Bellón,42290,19,Schweiz,FC St. Gallen 1879,257,FC Wil 1900,850,Schweiz,ablösefrei
614,09/10,Juan Pablo Garat,32446,26,Argentinien,FC St. Gallen 1879,257,Club Atlético Tigre,11831,Argentinien,?
615,09/10,Almen Abdi,9966,23,Schweiz,FC Zürich,260,Le Mans Union Club 72,1164,Frankreich,333 Tsd. €
616,09/10,Shkëlzen Gashi,32704,21,Albanien,FC Zürich,260,Neuchâtel Xamax,625,Schweiz,100 Tsd. €
617,09/10,Daniel Stucki,19290,28,Schweiz,FC Zürich,260,BSC Old Boys,2016,Schweiz,ablösefrei
618,09/10,David Da Costa,17302,23,Schweiz,FC Zürich,260,FC Chiasso,510,Schweiz,?
619,09/10,Jérôme Thiesson,34600,21,Schweiz,FC Zürich,260,AC Bellinzona,2047,Schweiz,?
620,09/10,Essam El Hadary,34385,36,Ägypten,FC Sion,321,Ismaily SC,3595,Ägypten,480 Tsd. €
621,09/10,Mirsad Mijadinoski,19741,27,Nordmazedonien,FC Sion,321,Debreceni VSC,84,Ungarn,100 Tsd. €
622,09/10,Germano Vailati,20104,29,Schweiz,FC Sion,321,FC St. Gallen 1879,257,Schweiz,66 Tsd. €
623,09/10,Zbigniew Zakrzewski,29862,29,Polen,FC Sion,321,GKS Belchatow,716,Polen,ablösefrei
624,09/10,Kali,20178,30,Angola,FC Sion,321,AC Arles-Avignon,11300,Frankreich,ablösefrei
625,09/10,Olivier Monterrubio,5681,32,Frankreich,FC Sion,321,FC Lorient,1158,Frankreich,ablösefrei
626,09/10,Yusuf Mohamed,75252,26,Nigeria,FC Sion,321,Al-Hilal Omdurman,8430,Sudan,?
627,09/10,Moustapha Dabo,42314,23,Senegal,FC Sion,321,Al-Sailiya SC,4630,Katar,?
