,Saison,Name,Player_ID,Alter,Nationalität,Abgebender Verein,ID_1,Aufnehmender Verein,ID_2,Zielland,Ablösesumme,Ligahöhe
1063,15/16,Igor Oshchypko,58425,29,Ukraine,SK Sturm Graz,122,Zaria Balti,21508,Moldawien,0.0,1.Liga
1064,15/16,Daniel Beichler,45405,26,Österreich,SK Sturm Graz,122,SKN St. Pölten,2662,Österreich,0.0,2.Liga
1065,15/16,Josip Tadic,29899,28,Kroatien,SK Sturm Graz,122,Balikesirspor,20698,Türkei,0.0,2.Liga
1066,15/16,Attila Simon,57210,32,Ungarn,Wolfsberger AC,4441,Gyirmót FC Győr,22610,Ungarn,0.0,2.Liga
1067,15/16,Stefan Schwendinger,120193,20,Österreich,Wolfsberger AC,4441,SK Austria Klagenfurt,28760,Österreich,0.0,2.Liga
1068,15/16,Manuel Kerhe,52369,28,Österreich,Wolfsberger AC,4441,LASK,413,Österreich,0.0,2.Liga
1069,15/16,René Seebacher,50526,26,Österreich,Wolfsberger AC,4441,SC Wiener Neustadt,17444,Österreich,0.0,2.Liga
1070,15/16,Christoph Kobleder,67879,25,Österreich,Wolfsberger AC,4441,FC Wacker Innsbruck,2444,Österreich,0.0,2.Liga
1071,15/16,Peter Zulj,128105,22,Österreich,Wolfsberger AC,4441,FC Admira Wacker Mödling,503,Österreich,0.0,1.Liga
1072,15/16,Thomas Murg,153190,21,Österreich,SV Ried,266,SK Rapid Wien,170,Österreich,700000.0,1.Liga
1073,15/16,Oliver Kragl,56513,25,Deutschland,SV Ried,266,Frosinone Calcio,8970,Italien,400000.0,1.Liga
1074,15/16,Stefan Lainer,85791,22,Österreich,SV Ried,266,Red Bull Salzburg,409,Österreich,200000.0,1.Liga
1075,15/16,Thomas Burghuber,158085,21,Österreich,SV Ried,266,SV Austria Salzburg,11853,Österreich,0.0,2.Liga
1076,15/16,Gabriel Schneider,82540,25,Österreich,SV Ried,266,Union St. Florian,2472,Österreich,0.0,3.Liga
1077,15/16,Emrah Krizevac,206934,19,Österreich,SV Ried,266,FC Viktoria 1889 Berlin,40373,Deutschland,0.0,4.Liga
1078,15/16,Harald Pichler,37592,28,Österreich,SV Ried,266,SV Grödig,10131,Österreich,0.0,1.Liga
1079,15/16,Lorenz Höbarth,59058,23,Österreich,SV Ried,266,ASKÖ Oedt,24830,Österreich,0.0,
1080,15/16,Thomas Fröschl,58937,26,Österreich,SV Ried,266,LASK,413,Österreich,0.0,2.Liga
1081,15/16,Julius Perstaller,41365,26,Österreich,SV Ried,266,FC Hansa Rostock,30,Deutschland,0.0,3.Liga
1082,15/16,Markus Suttner,31514,28,Österreich,FK Austria Wien,14,FC Ingolstadt 04,4795,Deutschland,700000.0,1.Liga
1083,15/16,Mario Leitgeb,52821,27,Österreich,FK Austria Wien,14,FC St. Gallen 1879,257,Schweiz,0.0,1.Liga
1084,15/16,James Holland,43158,26,Australien,FK Austria Wien,14,MSV Duisburg,52,Deutschland,0.0,2.Liga
1085,15/16,Heinz Lindner,59082,24,Österreich,FK Austria Wien,14,Eintracht Frankfurt,24,Deutschland,0.0,1.Liga
1086,15/16,Christian Ramsebner,37820,26,Österreich,FK Austria Wien,14,LASK,413,Österreich,0.0,2.Liga
1087,15/16,Sascha Horvath,186365,18,Österreich,FK Austria Wien,14,SK Sturm Graz,122,Österreich,0.0,1.Liga
1088,15/16,Florian Mader,2881,32,Österreich,FK Austria Wien,14,SKN St. Pölten,2662,Österreich,0.0,2.Liga
1089,15/16,Martin Harrer,80164,23,Österreich,FK Austria Wien,14,SCR Altach,3551,Österreich,0.0,1.Liga
