,Saison,Name,Player_ID,Alter,Nationalität,Abgebender Verein,ID_1,Aufnehmender Verein,ID_2,Zielland,Ablösesumme,Ligahöhe
1932,12/13,Michel Lugo,197163,25,Brasilien,FC Paços de Ferreira,2995,Guarany Bagé FC,24903,Brasilien,0,
1933,12/13,Julio Aguilar,75297,26,Paraguay,FC Paços de Ferreira,2995,CA 3 de Febrero,17485,Paraguay,0,
1934,12/13,Sassá,155473,24,Brasilien,FC Paços de Ferreira,2995,EC Bahia,10010,Brasilien,0,1.Liga
1935,12/13,Hugo Leal,5562,32,Portugal,Vitória Setúbal FC,1085,GD Estoril Praia,1465,Portugal,0,1.Liga
1936,12/13,Cristiano,33739,29,Brasilien,Vitória Setúbal FC,1085,Nacional Futebol Clube (AM),22782,Brasilien,0,
1937,12/13,Sassá,157707,24,Brasilien,Vitória Setúbal FC,1085,Volta Redonda FC (RJ),4176,Brasilien,0,
1938,12/13,Bruno Severino,59355,26,Portugal,Vitória Setúbal FC,1085,SC União Torreense,2432,Portugal,0,
1939,12/13,Ricardo,13867,36,Portugal,Vitória Setúbal FC,1085,SC Olhanense,4750,Portugal,0,1.Liga
1940,12/13,Rafa Lopes,162819,20,Portugal,Vitória Setúbal FC,1085,Moreirense FC,979,Portugal,0,1.Liga
1941,12/13,Neca,14201,32,Portugal,Vitória Setúbal FC,1085,Konyaspor,2293,Türkei,0,2.Liga
1942,12/13,Miguelito,14336,31,Portugal,Vitória Setúbal FC,1085,Apollon Limassol,429,Zypern,0,1.Liga
1943,12/13,Mamadou Djikiné,78555,25,Mali,Vitória Setúbal FC,1085,Olympiakos Nikosia,1402,Zypern,0,1.Liga
1944,12/13,Matos,85841,33,Portugal,Vitória Setúbal FC,1085,Leixões SC,3345,Portugal,0,
1945,12/13,Albert Meyong,17370,32,Kamerun,Vitória Setúbal FC,1085,Kabuscorp SC do Palanca,29294,Angola,0,
1946,12/13,Diego,26229,33,Brasilien,Vitória Setúbal FC,1085,FK Qabala,22010,Aserbaidschan,0,
1947,12/13,Tengarrinha,61730,23,Portugal,Vitória Setúbal FC,1085,ZSKA Sofia,208,Bulgarien,0,1.Liga
1948,12/13,Jorge Gonçalves,23199,28,Portugal,Vitória Setúbal FC,1085,CD Feirense,3349,Portugal,0,
1949,12/13,Pape Sow,20623,26,Senegal,Académica Coimbra,2990,Panathinaikos Athen,265,Griechenland,0,1.Liga
1950,12/13,Ghislain Mvom,127753,19,Kamerun,Académica Coimbra,2990,Benfica Lissabon B,10330,Portugal,0,
1951,12/13,Hugo Morais,25123,34,Portugal,Académica Coimbra,2990,CF União Madeira (-2021),976,Portugal,0,
1952,12/13,Éder,84481,20,Portugal,Académica Coimbra,2990,SC Braga,1075,Portugal,0,1.Liga
1953,12/13,Diogo Ribeiro,92049,21,Portugal,Académica Coimbra,2990,SC Braga B,10789,Portugal,0,
1954,12/13,Diogo Melo,59868,28,Brasilien,Académica Coimbra,2990,Sanat Naft FC,20962,Iran,0,1.Liga
1955,12/13,Diogo Valente,23270,27,Portugal,Académica Coimbra,2990,CFR Cluj,7769,Rumänien,0,1.Liga
1956,12/13,Júnior Lopes,151142,25,Brasilien,Académica Coimbra,2990,Nova Iguaçu FC (RJ),16108,Brasilien,0,
1957,12/13,Henrique,86645,25,Portugal,Académica Coimbra,2990,Blackburn Rovers,164,England,0,2.Liga
1958,12/13,Saulo,24962,30,Brasilien,Académica Coimbra,2990,AE Pafos,7475,Zypern,0,1.Liga
1959,12/13,Vincent Sasso,122115,21,Frankreich,SC Beira-Mar,1436,SC Braga,1075,Portugal,750000 ,1.Liga
1960,12/13,Yohan Tavares,85953,24,Portugal,SC Beira-Mar,1436,Standard Lüttich,3057,Belgien,500000 ,1.Liga
1961,12/13,Djiman Koukou,65911,22,Benin,SC Beira-Mar,1436,Chamois Niortais FC,1161,Frankreich,0,2.Liga
1962,12/13,Felipe Desco,246267,23,Brasilien,SC Beira-Mar,1436,Sociedade Esportiva Itapirense (SP),31958,Brasilien,0,
1963,12/13,Tiago Barros,158529,24,Portugal,SC Beira-Mar,1436,CD Tondela,7179,Portugal,0,
1964,12/13,Édson Silva,142402,28,Guinea-Bissau,SC Beira-Mar,1436,CD Tondela,7179,Portugal,0,
1965,12/13,Élio Martins,125123,27,Portugal,SC Beira-Mar,1436,Beroe Stara Zagora,6764,Bulgarien,0,1.Liga
1966,12/13,Artur,24880,28,Portugal,SC Beira-Mar,1436,Chornomorets Odessa,6992,Ukraine,0,1.Liga
1967,12/13,Hugo Seixas,158522,21,Portugal,SC Beira-Mar,1436,UD Tocha,7794,Portugal,0,
1968,12/13,Luis Tinoco,34570,25,Portugal,SC Beira-Mar,1436,Naval 1º de Maio,4814,Portugal,0,
1969,12/13,Filipe Melo,134580,22,Portugal,SC Beira-Mar,1436,Naval 1º de Maio,4814,Portugal,0,
1970,12/13,Pika,502920,20,Mosambik,GD Estoril Praia,1465,AD Oeiras,9006,Portugal,0,
1971,12/13,Janú Silva,590053,20,Portugal,GD Estoril Praia,1465,SC Lourel,7654,Portugal,0,
1972,12/13,Alexandre Hauw,45085,30,Frankreich,GD Estoril Praia,1465,Monts d'Or Azergues Foot,30443,Frankreich,0,
1973,12/13,Ernesto,13885,32,Kap Verde,GD Estoril Praia,1465,Vilankulo FC,42078,Mosambik,0,
1974,12/13,Vítor Moreno,34798,31,Kap Verde,GD Estoril Praia,1465,Atlético CP,5227,Portugal,0,
1975,12/13,Pedro Moreira,33257,29,Kap Verde,GD Estoril Praia,1465,Nea Salamina Famagusta,18945,Zypern,0,1.Liga
1976,12/13,Bruno,138146,23,Brasilien,GD Estoril Praia,1465,Naval 1º de Maio,4814,Portugal,0,
1977,12/13,André Geraldes,154319,21,Portugal,Rio Ave FC,2425,Istanbul Büyüksehir Belediyespor,6890,Türkei,1200000 ,1.Liga
1978,12/13,Ricardo Martins,72769,22,Portugal,Rio Ave FC,2425,FC Famalicão,3329,Portugal,0,
1979,12/13,Gaspar,14299,37,Portugal,Rio Ave FC,2425,SC Covilhã,10140,Portugal,0,
1980,12/13,Zé Gomes,14388,35,Portugal,Rio Ave FC,2425,GD Bragança,7117,Portugal,0,
1981,12/13,Huanderson,190909,29,Brasilien,Rio Ave FC,2425,Iraklis Thessaloniki,47,Griechenland,0,2.Liga
1982,12/13,Tiago Costa,42960,27,Portugal,Rio Ave FC,2425,Olympiakos Nikosia,1402,Zypern,0,1.Liga
1983,12/13,Pedro Trigueira,91949,24,Portugal,Rio Ave FC,2425,CD Cinfães,12988,Portugal,0,
