,Saison,Name,Player_ID,Alter,Nationalität,Abgebender Verein,ID_1,Aufnehmender Verein,ID_2,Zielland,Ablösesumme,Ligahöhe
1735,13/14,Norair Aslanyan,167107,22,Armenien,PEC Zwolle,1269,Willem II Tilburg,403,Niederlande,0,2.Liga
1736,13/14,Christiaan Cicek,77797,24,Niederlande,PEC Zwolle,1269,SVZW Wierden,2951,Niederlande,0,
1737,13/14,Norichio Nieveld,31116,24,Niederlande,PEC Zwolle,1269,FC Eindhoven,3892,Niederlande,0,2.Liga
1738,13/14,Rochdi Achenteh,61809,25,Marokko,PEC Zwolle,1269,Vitesse Arnheim,499,Niederlande,0,1.Liga
1739,13/14,Lerin Duarte,92842,23,Niederlande,Heracles Almelo,1304,Ajax Amsterdam,610,Niederlande,3000000 ,1.Liga
1740,13/14,Daryl van Mieghem,177821,23,Niederlande,Heracles Almelo,1304,SC Telstar,1434,Niederlande,0,2.Liga
1741,13/14,Paul Holsgrove,262480,22,England,Heracles Almelo,1304,FC Millwall,1028,England,0,2.Liga
1742,13/14,Berry Powel,21398,33,Niederlande,Heracles Almelo,1304,Roda JC Kerkrade,192,Niederlande,0,1.Liga
1743,13/14,Mathias Schamp,85277,25,Belgien,Heracles Almelo,1304,KSV Oudenaarde,6304,Belgien,0,
1744,13/14,Marko Vejinović,59594,23,Niederlande,Heracles Almelo,1304,Vitesse Arnheim,499,Niederlande,0,1.Liga
1745,13/14,Everton,44349,30,Brasilien,Heracles Almelo,1304,Al-Nassr FC,18544,Saudi-Arabien,0,
1746,13/14,Ninos Gouriye,190633,22,Niederlande,Heracles Almelo,1304,ADO Den Haag,1268,Niederlande,0,1.Liga
1747,13/14,Christian Dorda,36189,25,Deutschland,Heracles Almelo,1304,FC Utrecht,200,Niederlande,0,1.Liga
1748,13/14,Nemanja Gudelj,74294,21,Serbien,NAC Breda,132,AZ Alkmaar,1090,Niederlande,3000000 ,1.Liga
1749,13/14,Eric Botteghin,56601,25,Brasilien,NAC Breda,132,FC Groningen,202,Niederlande,650000 ,1.Liga
1750,13/14,Kees Luijckx,39524,27,Niederlande,NAC Breda,132,Roda JC Kerkrade,192,Niederlande,0,1.Liga
1751,13/14,Nadir Ciftci,77964,21,Türkei,NAC Breda,132,Dundee United FC,1519,Schottland,0,1.Liga
1752,13/14,Steven Edwards,214322,22,Niederlande,NAC Breda,132,Achilles '29,18216,Niederlande,0,2.Liga
1753,13/14,Tim Coremans,119061,22,Niederlande,NAC Breda,132,SC Cambuur Leeuwarden,133,Niederlande,0,1.Liga
1754,13/14,Jens Janse,37738,27,Niederlande,NAC Breda,132,FC Córdoba,993,Spanien,0,2.Liga
1755,13/14,Anthony Lurling,4158,36,Niederlande,NAC Breda,132,SC Heerenveen,306,Niederlande,0,1.Liga
1756,13/14,Cuco Martina,91251,23,Curacao,RKC Waalwijk,235,FC Twente Enschede,317,Niederlande,350000 ,1.Liga
1757,13/14,Florian Jozefzoon,124873,22,Suriname,RKC Waalwijk,235,PSV Eindhoven,383,Niederlande,275000 ,1.Liga
1758,13/14,Rodney Sneijder,93405,22,Niederlande,RKC Waalwijk,235,Almere City FC,723,Niederlande,0,2.Liga
1759,13/14,Furkan Alakmak,153365,21,Türkei,RKC Waalwijk,235,Göztepe,1467,Türkei,0,3.Liga
1760,13/14,Denzel Slager,225886,20,Curacao,RKC Waalwijk,235,Coventry City,990,England,0,3.Liga
1761,13/14,Dennis Lemke,59475,24,Deutschland,RKC Waalwijk,235,SV Babelsberg 03,90,Deutschland,0,4.Liga
1762,13/14,Henrico Drost,17313,26,Niederlande,RKC Waalwijk,235,NAC Breda,132,Niederlande,0,1.Liga
1763,13/14,Guy Ramos,56384,27,Kap Verde,RKC Waalwijk,235,Roda JC Kerkrade,192,Niederlande,0,1.Liga
1764,13/14,Ard van Peppen,19063,28,Niederlande,RKC Waalwijk,235,Roda JC Kerkrade,192,Niederlande,0,1.Liga
1765,13/14,Teddy Chevalier,57514,26,Frankreich,RKC Waalwijk,235,KV Kortrijk,601,Belgien,0,1.Liga
1766,13/14,Jeff Stans,117671,23,Niederlande,RKC Waalwijk,235,Excelsior Rotterdam,798,Niederlande,0,2.Liga
1767,13/14,Melvin Platje,59665,24,Niederlande,NEC Nijmegen,467,Neftchi Baku,8031,Aserbaidschan,200000 ,1.Liga
