,Saison,Name,Player_ID,Alter,Nationalität,Abgebender Verein,ID_1,Aufnehmender Verein,ID_2,Zielland,Ablösesumme,Ligahöhe
761,07/08,Mateusz Zytko,29539,24,Polen,Zaglebie Lubin,168,Wisla Plock,2118,Polen,0,2.Liga
762,07/08,Pawel Golanski,32313,24,Polen,Korona Kielce,6110,Steaua Bukarest,301,Rumänien,1300000 ,1.Liga
763,07/08,Piotr Swierczewski,3694,35,Polen,Korona Kielce,6110,Dyskobolia Grodzisk Wielkopolski,2775,Polen,0,1.Liga
764,07/08,Hermes,32267,32,Brasilien,Korona Kielce,6110,Jagiellonia Bialystok,2300,Polen,0,1.Liga
765,07/08,Adam Czerkas,32245,23,Polen,Korona Kielce,6110,LKS Lodz,256,Polen,0,1.Liga
766,07/08,Dariusz Kozubek,32256,32,Polen,Korona Kielce,6110,Zaglebie Sosnowiec,6560,Polen,0,1.Liga
767,07/08,Lukasz Zaluska,32273,25,Polen,Korona Kielce,6110,Dundee United FC,1519,Schottland,0,1.Liga
768,07/08,Piotr Bagnicki,42031,26,Polen,Korona Kielce,6110,Zaglebie Sosnowiec,6560,Polen,0,1.Liga
769,07/08,Piotr Leciejewski,24512,22,Polen,Korona Kielce,6110,LKS Lodz,256,Polen,0,1.Liga
770,07/08,Tomasz Brzyski,33578,25,Polen,Korona Kielce,6110,Ruch Chorzow,318,Polen,0,1.Liga
771,07/08,Tomasz Szewczuk,2592,28,Polen,Korona Kielce,6110,Slask Wroclaw,759,Polen,0,2.Liga
772,07/08,Piotr Bania,29715,34,Polen,Cracovia,5689,Wisla Plock,2118,Polen,0,2.Liga
773,07/08,João Paulo,24534,24,Brasilien,Cracovia,5689,Grottammare Calcio 1899,19716,Italien,0,
774,07/08,Marek Baster,29718,33,Polen,Cracovia,5689,Arka Gdynia,6107,Polen,0,2.Liga
775,07/08,Michal Swistak,29751,30,Polen,Cracovia,5689,Gornik Wieliczka,9479,Polen,0,
776,07/08,Jacek Wisniewski,29757,33,Polen,Cracovia,5689,Wisla Plock,2118,Polen,0,2.Liga
777,07/08,Sylwester Debowski,49724,20,Polen,Górnik Zabrze,428,Gwarek Zabrze,1991,Polen,0,
778,07/08,Tomasz Luczywek,32594,28,Polen,Górnik Zabrze,428,Hetman Zamosc,6108,Polen,0,
779,07/08,Blazej Radler,32181,24,Polen,Górnik Zabrze,428,Odra Wodzislaw Slaski,1305,Polen,0,1.Liga
780,07/08,Andrzej Bednarz,27127,26,Polen,Górnik Zabrze,428,Kmita Zabierzów,8737,Polen,0,2.Liga
781,07/08,Jaroslaw Bialek,33162,26,Polen,Górnik Zabrze,428,Zaglebie Sosnowiec,6560,Polen,0,1.Liga
782,07/08,Artur Prokop,34746,34,Polen,Górnik Zabrze,428,Kolejarz Stroze,4533,Polen,0,
783,07/08,Damian Seweryn,33202,27,Polen,Górnik Zabrze,428,Odra Wodzislaw Slaski,1305,Polen,0,1.Liga
784,07/08,Bartlomiej Socha,36468,25,Polen,Górnik Zabrze,428,Odra Wodzislaw Slaski,1305,Polen,0,1.Liga
785,07/08,Dawid Bartos,32956,28,Polen,Górnik Zabrze,428,Hetman Zamosc,6108,Polen,0,
786,07/08,Rafal Andraszak,24544,29,Polen,Górnik Zabrze,428,Piast Gliwice,6112,Polen,0,2.Liga
787,07/08,Ivaylo Stoimenov,33427,25,Bulgarien,Górnik Zabrze,428,Sportist Svoge,19784,Bulgarien,0,
788,07/08,Slawomir Jarczyk,30509,27,Polen,Górnik Zabrze,428,Wisla Plock,2118,Polen,0,2.Liga
789,07/08,Marcin Kowalczyk,36298,22,Polen,GKS Belchatow,716,Dynamo Moskau,121,Russland,800000 ,1.Liga
790,07/08,Rafal Grodzicki,37408,24,Polen,GKS Belchatow,716,Ruch Chorzow,318,Polen,0,1.Liga
791,07/08,Marcin Komorowski,38005,23,Polen,GKS Belchatow,716,Zaglebie Sosnowiec,6560,Polen,0,1.Liga
792,07/08,Jacek Kuranty,32278,29,Polen,GKS Belchatow,716,Odra Wodzislaw Slaski,1305,Polen,0,1.Liga
793,07/08,Robert Górski,24553,33,Polen,GKS Belchatow,716,Wisla Plock,2118,Polen,0,2.Liga
794,07/08,Bartosz Hinc,32252,30,Polen,GKS Belchatow,716,Odra Wodzislaw Slaski,1305,Polen,0,1.Liga
795,07/08,Piotr Cwielong,32964,21,Polen,Ruch Chorzow,318,Wisla Krakau,422,Polen,200000 ,1.Liga
796,07/08,Przemyslaw Ludzinski,24514,24,Polen,Ruch Chorzow,318,Slask Wroclaw,759,Polen,125000 ,2.Liga
797,07/08,Marcin Makuch,29738,26,Polen,Ruch Chorzow,318,Kmita Zabierzów,8737,Polen,0,2.Liga
798,07/08,Marcin Klaczka,32979,32,Polen,Ruch Chorzow,318,Pniowek Pawlowice ,9106,Polen,0,
799,07/08,Grazvydas Mikulėnas,24040,34,Litauen,Ruch Chorzow,318,GKS Katowice,6456,Polen,0,2.Liga
800,07/08,Sebastian Nowak,32995,25,Polen,Ruch Chorzow,318,Górnik Zabrze,428,Polen,0,1.Liga
801,07/08,Tomasz Sokolowski,15232,37,Polen,Ruch Chorzow,318,Jagiellonia Bialystok,2300,Polen,0,1.Liga
802,07/08,Grzegorz Misiura,42584,26,Polen,Ruch Chorzow,318,Polonia Slubice,10641,Polen,0,
803,07/08,Adam Marciniak,41892,18,Polen,LKS Lodz,256,Górnik Zabrze,428,Polen,150000 ,1.Liga
804,07/08,Tomasz Hajto,368,34,Polen,LKS Lodz,256,Górnik Zabrze,428,Polen,75000 ,1.Liga
805,07/08,Piotr Leciejewski,24512,23,Polen,LKS Lodz,256,Sogndal IL,2038,Norwegen,0,2.Liga
806,07/08,Marcin Klatt,32175,22,Polen,LKS Lodz,256,Warta Posen,7146,Polen,0,2.Liga
807,07/08,Tomasz Raczka,35128,25,Polen,LKS Lodz,256,Concordia Piotrkow Trybunalski,10085,Polen,0,
808,07/08,Witold Sabela,29822,26,Polen,LKS Lodz,256,Tur Turek,6106,Polen,0,2.Liga
809,07/08,Lukasz Tralka,29538,23,Polen,LKS Lodz,256,Lechia Gdansk,4000,Polen,0,2.Liga
810,07/08,Michal Lochowski,33193,29,Polen,LKS Lodz,256,Pelikan Lowicz,6559,Polen,0,2.Liga
811,07/08,Michal Rozkwitalski,37935,22,Polen,LKS Lodz,256,Pelikan Lowicz,6559,Polen,0,2.Liga
812,07/08,Sebastian Keska,29732,26,Polen,LKS Lodz,256,Stal Stalowa Wola,8641,Polen,0,2.Liga
813,07/08,Aleksandar Radunovic,32264,27,Serbien,LKS Lodz,256,FK BSK Borca,9060,Serbien,0,
814,07/08,Marius Kizys,28963,25,Litauen,LKS Lodz,256,Górnik Zabrze,428,Polen,0,1.Liga
815,07/08,Pawel Budniak,54377,18,Polen,LKS Lodz,256,KSZO Ostrowiec Swietokrzyski,1986,Polen,0,
816,07/08,Wojciech Skaba,29824,23,Polen,Odra Wodzislaw Slaski,1305,Legia Warschau,255,Polen,200000 ,1.Liga
817,07/08,Marcin Dymkowski,29802,26,Polen,Odra Wodzislaw Slaski,1305,Lech Posen,238,Polen,175000 ,1.Liga
818,07/08,Bartosz Iwan,14897,23,Polen,Odra Wodzislaw Slaski,1305,GKS Katowice,6456,Polen,0,2.Liga
819,07/08,Lubor Knapp,41271,30,Tschechien,Odra Wodzislaw Slaski,1305,FC Vitkovice,8685,Tschechien,0,
820,07/08,Adam Gmitrzuk,15224,24,Polen,Odra Wodzislaw Slaski,1305,Gornik Leczna,3291,Polen,0,
821,07/08,Stanislaw Wrobel,29759,29,Polen,Odra Wodzislaw Slaski,1305,Piast Gliwice,6112,Polen,0,2.Liga
822,07/08,Marcin Krysinski,29806,30,Polen,Odra Wodzislaw Slaski,1305,GKS Katowice,6456,Polen,0,2.Liga
823,07/08,Mariusz Muszalik,29813,27,Polen,Odra Wodzislaw Slaski,1305,Dyskobolia Grodzisk Wielkopolski,2775,Polen,0,1.Liga
824,07/08,Krzysztof Pilarz,32599,27,Polen,Odra Wodzislaw Slaski,1305,Ruch Chorzow,318,Polen,0,1.Liga
825,07/08,Marcin Nowacki,24563,26,Polen,Odra Wodzislaw Slaski,1305,Ruch Chorzow,318,Polen,0,1.Liga
826,07/08,Grzegorz Jurczyk,33183,32,Polen,Polonia Bytom,7976,Przeboj Wolbrom,12660,Polen,0,
827,07/08,Przemyslaw Grajek,97511,20,Polen,Polonia Bytom,7976,Gornik Zabrze II,10891,Polen,0,
828,07/08,Jaroslaw Kupis,33148,26,Polen,Polonia Bytom,7976,Walka Makoszowy,6117,Polen,0,
829,07/08,Arkadiusz Sojka,33406,27,Polen,Polonia Bytom,7976,Pelikan Lowicz,6559,Polen,0,2.Liga
830,07/08,Grzegorz Zmija,42607,36,Polen,Polonia Bytom,7976,Ruch Radzionkow,9239,Polen,0,
831,07/08,Piotr Plewnia,17603,30,Polen,Polonia Bytom,7976,GKS Katowice,6456,Polen,0,2.Liga
832,07/08,Marcin Kowalski,42578,20,Polen,Polonia Bytom,7976,Ruch Radzionkow,9239,Polen,0,
833,07/08,Jakub Wierzchowski,1250,30,Polen,Polonia Bytom,7976,Gornik Leczna,3291,Polen,0,
834,07/08,Mateusz Rosol,52319,21,Polen,Polonia Bytom,7976,MKS Myszkow,11731,Polen,0,
835,07/08,Damian Gacki,33174,24,Polen,Polonia Bytom,7976,Koszarawa Zywiec,9484,Polen,0,
836,07/08,Rafal Jablonski,33179,22,Polen,Polonia Bytom,7976,Ruch Radzionkow,9239,Polen,0,
837,07/08,Adam Krzeciesa,42579,24,Polen,Polonia Bytom,7976,Walka Makoszowy,6117,Polen,0,
838,07/08,Wojciech Kobeszko,33372,28,Polen,Jagiellonia Bialystok,2300,Ruch Wysokie Mazowieckie,8612,Polen,0,
839,07/08,Ernest Konon,33374,33,Polen,Jagiellonia Bialystok,2300,KVK Tienen,3315,Belgien,0,2.Liga
840,07/08,Andrzej Olszewski,33382,32,Polen,Jagiellonia Bialystok,2300,Slask Wroclaw,759,Polen,0,2.Liga
841,07/08,Bartosz Romanczuk,4287,23,Polen,Jagiellonia Bialystok,2300,Aias Salaminas,14632,Griechenland,0,
842,07/08,Radek Divecky,21015,33,Tschechien,Jagiellonia Bialystok,2300,SK Sokol Brozany,17970,Tschechien,0,
843,07/08,Marcin Tarnowski,24522,22,Polen,Jagiellonia Bialystok,2300,Unia Janikowo,8642,Polen,0,
844,07/08,Marcin Kosmicki,32255,29,Polen,Jagiellonia Bialystok,2300,Gornik Leczna,3291,Polen,0,
845,07/08,Robert Speichler,33385,26,Polen,Jagiellonia Bialystok,2300,Lechia Gdansk,4000,Polen,0,2.Liga
846,07/08,Lukasz Tyczkowski,37118,23,Polen,Jagiellonia Bialystok,2300,Warmia Grajewo,12299,Polen,0,
847,07/08,Rafal Balecki,27124,27,Polen,Jagiellonia Bialystok,2300,Zaglebie Sosnowiec,6560,Polen,0,1.Liga
848,07/08,Janusz Wolanski,36471,27,Polen,Jagiellonia Bialystok,2300,Polonia Bytom,7976,Polen,0,1.Liga
849,07/08,Konrad Nowak,42500,22,Polen,Jagiellonia Bialystok,2300,Avia Swidnik,10768,Polen,0,
850,07/08,Krzysztof Zalewski,33390,29,Polen,Jagiellonia Bialystok,2300,Odra Opole,5699,Polen,0,2.Liga
851,07/08,Jakub Wawrzyniak,35075,23,Polen,Widzew Lodz,88,Legia Warschau,255,Polen,300000 ,1.Liga
852,07/08,Nenad Zecevic,28484,29,Serbien,Widzew Lodz,88,FK Leotar Trebinje,3451,Bosnien-Herzegowina,100000 ,
853,07/08,Ruslan Medzhidov,38045,21,Aserbaidschan,Widzew Lodz,88,Neftchi Baku,8031,Aserbaidschan,50000 ,
854,07/08,Andrzej Tychowski,33408,25,Polen,Widzew Lodz,88,Dröbak-Frogn IK,12534,Norwegen,0,
855,07/08,Douglas,37552,25,Brasilien,Widzew Lodz,88,Varese 1910,4361,Italien,0,
856,07/08,Grzegorz Piechna,32259,31,Polen,Widzew Lodz,88,Polonia Warschau,2745,Polen,0,2.Liga
857,07/08,Marcin Nowak,35066,28,Polen,Widzew Lodz,88,Piast Gliwice,6112,Polen,0,2.Liga
858,07/08,Kelechi Zeal Iheanacho,14913,25,Nigeria,Widzew Lodz,88,Vasas SC,5378,Ungarn,0,
859,07/08,Andrzej Rybski,27277,22,Polen,Widzew Lodz,88,Lechia Gdansk,4000,Polen,0,2.Liga
860,07/08,Kamil Styzej,56644,22,Polen,Widzew Lodz,88,Stal Poniatowa,14993,Polen,0,
861,07/08,Arkadiusz Aleksander,24543,27,Polen,Widzew Lodz,88,Odra Wodzislaw Slaski,1305,Polen,0,1.Liga
862,07/08,Jakub Wierzchowski,1250,30,Polen,Zaglebie Sosnowiec,6560,Polonia Bytom,7976,Polen,0,1.Liga
863,07/08,Jaroslaw Piatkowski,32258,25,Polen,Zaglebie Sosnowiec,6560,Resovia Rzeszów,10704,Polen,0,
864,07/08,Yevgen Demydenko,66332,21,Ukraine,Zaglebie Sosnowiec,6560,Lokomotyv Kiew,27227,Ukraine,0,
865,07/08,Slawomir Pach,29530,27,Polen,Zaglebie Sosnowiec,6560,Aias Salaminas,14632,Griechenland,0,
866,07/08,Dawid Skrzypek,36466,29,Polen,Zaglebie Sosnowiec,6560,Mo IL,16633,Norwegen,0,
867,07/08,Krystian Prymula,1771,25,Deutschland,Zaglebie Sosnowiec,6560,Resovia Rzeszów,10704,Polen,0,
868,07/08,Jacek Paczkowski,36457,26,Polen,Zaglebie Sosnowiec,6560,Podbeskidzie Bielsko-Biala,6361,Polen,0,2.Liga
869,07/08,Dariusz Kozubek,32256,32,Polen,Zaglebie Sosnowiec,6560,Concordia Piotrkow Trybunalski,10085,Polen,0,
870,07/08,Jacek Berensztajn,27128,34,Polen,Zaglebie Sosnowiec,6560,Wlokniarz Zelow,31566,Polen,0,
871,07/08,David Topolski,29859,23,Polen,Zaglebie Sosnowiec,6560,Tur Turek,6106,Polen,0,2.Liga
872,07/08,Daniel Trescinski,52446,29,Polen,Zaglebie Sosnowiec,6560,GKS Katowice,6456,Polen,0,2.Liga
873,07/08,Marcin Lachowski,36447,26,Polen,Zaglebie Sosnowiec,6560,LZS Lesnica,11991,Polen,0,
874,07/08,Boris Peskovic,27269,31,Slowakei,Zaglebie Sosnowiec,6560,Górnik Zabrze,428,Polen,0,1.Liga
875,07/08,Grzegorz Kaliciak,42069,32,Polen,Zaglebie Sosnowiec,6560,Orzel Balin,31993,Polen,0,
876,07/08,Piotr Bagnicki,42031,27,Polen,Zaglebie Sosnowiec,6560,Kmita Zabierzów,8737,Polen,0,2.Liga
877,07/08,Szymon Gasinski,38213,24,Polen,Zaglebie Sosnowiec,6560,Mo IL,16633,Norwegen,0,
878,07/08,Przemyslaw Oziebala,52435,21,Polen,Zaglebie Sosnowiec,6560,Widzew Lodz,88,Polen,0,1.Liga
879,07/08,Jaroslaw Bialek,33162,27,Polen,Zaglebie Sosnowiec,6560,Resovia Rzeszów,10704,Polen,,
880,08/09,Jakub Kisiel,72309,20,Polen,GKS Belchatow,716,Widzew Lodz,88,Polen,10000 ,2.Liga
