,Saison,Name,Player_ID,Alter,Nationalität,Abgebender Verein,ID_1,Aufnehmender Verein,ID_2,Zielland,Ablösesumme,Ligahöhe
1905,16/17,Borek Dockal,62983,28,Tschechien,AC Sparta Prag,197,Henan Jianye,9982,China,8500000,1.Liga
1906,16/17,Patrik Schick,242086,20,Tschechien,AC Sparta Prag,197,Sampdoria Genua,1038,Italien,4000000,1.Liga
1907,16/17,Ladislav Krejci,140206,24,Tschechien,AC Sparta Prag,197,FC Bologna,1025,Italien,3800000,1.Liga
1908,16/17,Jakub Brabec,112948,24,Tschechien,AC Sparta Prag,197,KRC Genk,1184,Belgien,2500000,1.Liga
1909,16/17,Kehinde Fatai,73951,26,Nigeria,AC Sparta Prag,197,FK Ufa,28095,Russland,1300000,1.Liga
1910,16/17,Kamil Vacek,35645,29,Tschechien,AC Sparta Prag,197,Maccabi Haifa,1064,Israel,350000,1.Liga
1911,16/17,Martin Nespor,116183,26,Tschechien,AC Sparta Prag,197,Zaglebie Lubin,168,Polen,300000,1.Liga
1912,16/17,Tomas Holy,123672,25,Tschechien,AC Sparta Prag,197,FC Gillingham,2814,England,0,3.Liga
1913,16/17,Milan Svenger,63748,30,Tschechien,AC Sparta Prag,197,1.FK Pribram,2598,Tschechien,0,1.Liga
1914,16/17,Michael Lüftner,61763,22,Tschechien,FK Teplice,814,SK Slavia Prag,62,Tschechien,550000,1.Liga
1915,16/17,David Jablonsky,113575,24,Tschechien,FK Teplice,814,Tom Tomsk,3691,Russland,0,1.Liga
1916,16/17,Ivo Taborsky,21128,31,Tschechien,FK Teplice,814,SK Dynamo Ceske Budejovice,1321,Tschechien,0,2.Liga
